feature,importance
duration,0.3964871645769814
balance,0.05676821359889345
age,0.056565388177022065
day,0.051528054890740055
poutcome_success,0.040526758571523304
contact_unknown,0.03339531270972549
pdays,0.03230393291030772
campaign,0.026219643281280465
housing_no,0.0217690789038586
previous,0.020413201858485632
housing_yes,0.019556573526404688
contact_cellular,0.01797554743077197
poutcome_unknown,0.014873598296871002
month_may,0.013015376836877738
month_apr,0.012565529261765488
month_mar,0.012404371397464782
month_aug,0.012365579465153
month_oct,0.011756572817362188
month_jun,0.01033856470099328
month_jul,0.010163115475261142
marital_married,0.007856771502497107
month_feb,0.0076274837887536535
month_nov,0.007380140251182255
job_blue-collar,0.007203708580199984
poutcome_failure,0.00715474914013334
education_tertiary,0.006707926652665634
marital_single,0.0064941356837743
loan_no,0.006180693631412662
loan_yes,0.006051816430347764
education_secondary,0.006003891501257422
job_management,0.005628474144316061
job_technician,0.005449643060431089
month_jan,0.004686395597037383
job_admin.,0.004635873716597729
month_sep,0.004566627471166678
education_primary,0.004284957599612174
contact_telephone,0.00391229239851385
marital_divorced,0.0037542819950330555
job_retired,0.0035280387818255195
job_services,0.0033599902781584613
job_student,0.002775740664806003
poutcome_other,0.002519753093818886
education_unknown,0.0020805464901344126
job_unemployed,0.0017429133211454445
job_self-employed,0.001717173140481074
job_entrepreneur,0.001712878683916268
job_housemaid,0.0015342823405325907
month_dec,0.0010640807957294051
default_yes,0.0006080490784650532
default_no,0.0005319001127785388
job_unknown,0.00025321138553270297
